name,taxon_id,family,count
Agonum sexpunctatum,130429,49567,218
Agonum thoreyi,212799,49567,12
Agonum versutum,888349,49567,2
Agonum viduum,480683,49567,6
Agonum viridicupreum,547630,49567,13
Agraecina lineata,783661,153717,2
Agramma atricapillum,1089730,53506,17
Agramma confusum,1089734,53506,3
Agramma laetum,923708,53506,2
Agramma ruficorne,1448407,53506,1
Agraphopus lethierryi,605497,53225,31
Agraylea multipunctata,212803,129646,75
Agraylea sexmaculata,475527,129646,6
,,171479,0
,,52910,0
Agria mamillata,1087980,52910,1
Agriades glandon,367948,47923,1034
Agriades optilete,483726,47923,731
Agriades orbitulus,780120,47923,193
,,47923,0
Agrilinus ater,488968,48201,16
Agrilinus constans,1288775,48201,1
,,48201,0
,,54964,0
Agrilus angustulus,501733,54964,20
Agrilus ater,546893,54964,26
Agrilus auricollis,987153,54964,3
Agrilus betuleti,547605,54964,3
Agrilus biguttatus,468237,54964,72
Agrilus cinctus,1104830,54964,3
Agrilus convexicollis,547606,54964,6
