name,taxon_id,ancestry
Aspidytidae,474129,48460/1/47120/372739/47158/184884/47208/340471/574051
Assamiidae,340919,48460/1/47120/245097/47119/47367/202277/526082/534319
Astacidae,53709,48460/1/47120/85493/473790/47187/774775/144113/47186/118451/311310/47783
Astatidae,1019325,48460/1/47120/372739/47158/184884/47201/124417/326777/47222
Astegistidae,372952,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/1227488/245187
Asteiidae,173269,48460/1/47120/372739/47158/184884/47822/48091/372853/48089/48088/48087
Asternoseiidae,982566,48460/1/47120/245097/47119/52788/129762/52790/1270122/1270155/1270336
Asterocheridae,480551,48460/1/47120/85493/473790/1091452/121643/774777/774779/153122
Asterolecaniidae,321513,48460/1/47120/372739/47158/184884/47744/334037/60922
Atelecyclidae,245423,48460/1/47120/85493/473790/47187/774775/144113/47186/118451/121639/706185/447514/47829
Atelestidae,558000,48460/1/47120/372739/47158/184884/47822/48091/372865/318504
Ateluridae,372953,48460/1/47120/372739/47158/48301
Atemnidae,432754,48460/1/47120/245097/47119/172373/372876/928847/928851/172435
Athericidae,154586,48460/1/47120/372739/47158/184884/47822/48091/372865/342679
Athienemanidae,372954,48460/1/47120/245097/47119/52788/129763/83740/55597
Athienemanniidae,245031,48460/1/47120/245097/47119/52788/129763/83740/490738/495534/495535
Atlantasellidae,85613,48460/1/47120/85493/473790/47187/774775/144114/48147/343792
Atopetholidae,154899,48460/1/47120/144128/47735/551278/372763/997267/372724/51603/997639
Atopochetidae,997637,48460/1/47120/144128/47735/551278/372763/997267/372724/51603
Atopochthoniidae,982148,48460/1/47120/245097/47119/52788/129763/81508/332183/888610/245220
Atopogestidae,997783,48460/1/47120/144128/47735/551278/372763/997267/372724/85543/997741/997781
Atopogonidae,997979,48460/1/47120/144128/47735/551278/372763/997267/372784/47734
Atopomelidae,245060,48460/1/47120/245097/47119/52788/129763/81508/332183/1227296/152845/1466413/1466263
Atracidae,860664,48460/1/47120/245097/47119/47118/84719/1467321
Atriplectididae,981170,48460/1/47120/372739/47158/184884/62164/372875/173238
Attelabidae,60474,48460/1/47120/372739/47158/184884/47208/71130/372852/60473
Attemsiidae,982613,48460/1/47120/144128/47735/551278/372763/997267/551280/50425/986465/986474
Attevidae,124078,48460/1/47120/372739/47158/184884/47157/53552
Aturidae,245038,48460/1/47120/245097/47119/52788/129763/83740/490738/495534/495539
